in:HVAC System Type,in:Plant Performance,in:Outdoor Air Quantity,in:Percent Glazing [%],in:Glazing Performance,in:Lighting Power,in:Avg. Workstation Power [W],in:Roof PV Coverage [%],out:AHU Sizing [CFM/SF],out:Cooling [EUI],out:Heating [EUI],out:Lights/Plug [EUI],out:Fan/Pump [EUI],out:PV [EUI],out:Utility Cost [$/SF-yr],out:Total [EUI]
VAV,Low,30% increase,0.3,High,WSEC Baseline,Low [200W],0,1,2.3,24.6,22.9,10.3,0,0.572,60.1
VAV,Low,30% increase,0.3,Medium,WSEC Baseline,Low [200W],0,1.03,2.4,24.5,22.9,10.9,0,0.578,60.8
VAV,Low,30% increase,0.3,Low,WSEC Baseline,Low [200W],0,1.06,2.6,24.3,22.9,11.7,0,0.588,61.6
VAV,Low,30% increase,0.4,High,WSEC Baseline,Low [200W],0,1.18,2.4,25.3,22.9,10.8,0,0.584,61.5
VAV,Low,30% increase,0.4,Medium,WSEC Baseline,Low [200W],0,1.21,2.6,25.3,22.9,11.5,0,0.593,62.3
VAV,Low,30% increase,0.4,Low,WSEC Baseline,Low [200W],0,1.24,2.9,25.2,22.9,12.4,0,0.605,63.4
VAV,Low,30% increase,0.5,High,WSEC Baseline,Low [200W],0,1.36,2.5,26.1,22.9,11.3,0,0.597,62.9
VAV,Low,30% increase,0.5,Medium,WSEC Baseline,Low [200W],0,1.39,2.7,26.1,22.9,12,0,0.606,63.8
VAV,Low,30% increase,0.5,Low,WSEC Baseline,Low [200W],0,1.42,3.1,26.1,22.9,13,0,0.62,65.1
VAV,Low,30% increase,0.6,High,WSEC Baseline,Low [200W],0,1.54,2.7,26.9,22.9,11.7,0,0.608,64.1
VAV,Low,30% increase,0.6,Medium,WSEC Baseline,Low [200W],0,1.57,2.9,27,22.9,12.4,0,0.619,65.2
VAV,Low,30% increase,0.6,Low,WSEC Baseline,Low [200W],0,1.6,3.2,27.1,22.9,13.5,0,0.635,66.7
VAV,Low,30% increase,0.3,High,WSEC Baseline,Med [300W],0,1.3,2.6,23.6,27.5,11.9,0,0.632,65.6
VAV,Low,30% increase,0.3,Medium,WSEC Baseline,Med [300W],0,1.33,2.7,23.5,27.5,12.5,0,0.639,66.2
VAV,Low,30% increase,0.3,Low,WSEC Baseline,Med [300W],0,1.36,3,23.3,27.5,13.4,0,0.649,67.2
VAV,Low,30% increase,0.4,High,WSEC Baseline,Med [300W],0,1.48,2.7,24.3,27.5,12.4,0,0.645,67
VAV,Low,30% increase,0.4,Medium,WSEC Baseline,Med [300W],0,1.51,2.9,24.3,27.5,13.2,0,0.654,67.8
VAV,Low,30% increase,0.4,Low,WSEC Baseline,Med [300W],0,1.54,3.2,24.2,27.5,14.2,0,0.667,69.1
VAV,Low,30% increase,0.5,High,WSEC Baseline,Med [300W],0,1.66,2.8,25.1,27.5,12.9,0,0.657,68.3
VAV,Low,30% increase,0.5,Medium,WSEC Baseline,Med [300W],0,1.69,3.1,25.2,27.5,13.7,0,0.668,69.4
VAV,Low,30% increase,0.5,Low,WSEC Baseline,Med [300W],0,1.72,3.4,25.3,27.5,14.7,0,0.683,70.9
VAV,Low,30% increase,0.6,High,WSEC Baseline,Med [300W],0,1.84,3,25.9,27.5,13.3,0,0.669,69.6
VAV,Low,30% increase,0.6,Medium,WSEC Baseline,Med [300W],0,1.87,3.2,26.1,27.5,14.1,0,0.681,70.9
VAV,Low,30% increase,0.6,Low,WSEC Baseline,Med [300W],0,1.9,3.6,26.3,27.5,15.4,0,0.7,72.7
VAV,Low,30% increase,0.3,High,WSEC Baseline,High [400W],0,1.6,2.9,22.7,32,13.8,0,0.696,71.5
VAV,Low,30% increase,0.3,Medium,WSEC Baseline,High [400W],0,1.63,3.1,22.6,32,14.4,0,0.703,72.1
VAV,Low,30% increase,0.3,Low,WSEC Baseline,High [400W],0,1.66,3.3,22.5,32,15.3,0,0.714,73.1
VAV,Low,30% increase,0.4,High,WSEC Baseline,High [400W],0,1.78,3,23.4,32,14.3,0,0.708,72.8
